pais_nombre;pais_area_total_km2;pais_pob_total;L1_tipo;L1_nombre;L1_area_km2;L1_pct_area_pais;L1_rank_area_pais;L1_rank_area_superior;L1_pob;L1_pct_pob_pais;L1_rank_pob_pais;L1_rank_pob_superior;L1_num_subdivisiones_hijas;L1_capitales_nombres;L1_capitales_pob;L1_capitales_pct_pob_sub;L1_ciudad_mas_poblada_nombre;L1_ciudad_mas_poblada_pob;L1_ciudad_mas_poblada_pct_pob_sub;L1_escanhos;L2_tipo;L2_nombre;L2_area_km2;L2_pct_area_pais;L2_pct_area_superior;L2_rank_area_pais;L2_rank_area_superior;L2_pob;L2_pct_pob_pais;L2_pct_pob_superior;L2_rank_pob_pais;L2_rank_pob_superior;L2_num_subdivisiones_hijas;L2_capitales_nombres;L2_capitales_pob;L2_capitales_pct_pob_sub;L2_ciudad_mas_poblada_nombre;L2_ciudad_mas_poblada_pob;L2_ciudad_mas_poblada_pct_pob_sub;L2_escanhos;L3_tipo;L3_nombre;L3_area_km2;L3_pct_area_pais;L3_pct_area_superior;L3_rank_area_pais;L3_rank_area_superior;L3_pob;L3_pct_pob_pais;L3_pct_pob_superior;L3_rank_pob_pais;L3_rank_pob_superior;L3_num_subdivisiones_hijas;L3_capitales_nombres;L3_capitales_pob;L3_capitales_pct_pob_sub;L3_ciudad_mas_poblada_nombre;L3_ciudad_mas_poblada_pob;L3_ciudad_mas_poblada_pct_pob_sub;L3_escanhos;L4_tipo;L4_nombre;L4_area_km2;L4_pct_area_pais;L4_pct_area_superior;L4_rank_area_pais;L4_rank_area_superior;L4_pob;L4_pct_pob_pais;L4_pct_pob_superior;L4_rank_pob_pais;L4_rank_pob_superior;L4_num_subdivisiones_hijas;L4_capitales_nombres;L4_capitales_pob;L4_capitales_pct_pob_sub;L4_ciudad_mas_poblada_nombre;L4_ciudad_mas_poblada_pob;L4_ciudad_mas_poblada_pct_pob_sub;L4_escanhos
Austria_Spanish_Empire;630803.31;66989506;Corona;Aragón;134035.73;21.25;2;2;17883769;26.70;2;2;5;Barcelona | Zaragoza;2377245;13.29;Barcelona;1686208;9.43;27;Reino;Aragón;47720.00;7.56;35.60;3;1;1351591;2.02;7.56;6;4;731;Zaragoza;691037;51.13;Zaragoza;691037;51.13;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;Principado;Cataluña;35805.39;5.68;26.71;4;2;8490965;12.68;47.48;3;1;1150;Barcelona;1686208;19.86;Barcelona;1686208;19.86;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;Reino;Cerdeña;24099.45;3.82;17.98;5;3;1561339;2.33;8.73;5;3;377;Cagliari;146627;9.39;Cagliari;146627;9.39;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;Reino;Mallorca;4992.00;0.79;3.72;8;5;1231768;1.84;6.89;7;5;67;Palma;438234;35.58;Palma;438234;35.58;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;Reino;Valencia;21418.89;3.40;15.98;6;4;5248106;7.83;29.35;4;2;534;València;824340;15.71;València;824340;15.71;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Corona;Castilla;403545.67;63.97;1;1;33478536;49.98;1;1;2;Madrid;3422416;10.22;Madrid;3422416;10.22;36;Corona;Castilla;391918.33;62.13;97.12;1;1;32767181;48.91;97.88;1;1;24;Madrid;3422416;10.44;Madrid;3422416;10.44;33;Condado;Álava;3104.66;0.64;0.79;21;20;339869;0.70;1.04;21;19;53;Vitoria-Gasteiz;257407;75.74;Vitoria-Gasteiz;257407;75.74;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Provincia;Ávila;7809.16;1.61;1.99;17;16;176878;0.37;0.54;26;22;235;Ávila;59119;33.42;Ávila;59119;33.42;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Provincia;Burgos;22202.72;4.58;5.67;9;8;1195849;2.47;3.65;12;10;591;Burgos;176551;14.76;Burgos;176551;14.76;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Capitania General;Canarias;7447.00;1.54;1.90;19;18;2238754;4.63;6.83;8;6;88;Santa Cruz de Tenerife;210486;9.40;Las Palmas de Gran Canaria;383516;17.13;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Reino;Córdoba;12687.29;2.62;3.24;12;11;747411;1.54;2.28;14;12;72;Córdoba;324902;43.47;Córdoba;324902;43.47;;;;;;;;;;;;;;;;;;;;;
