pais_nombre;pais_area_total_km2;pais_pob_total;L1_tipo;L1_nombre;L1_area_km2;L1_pct_area_pais;L1_rank_area_pais;L1_rank_area_superior;L1_pob;L1_pct_pob_pais;L1_rank_pob_pais;L1_rank_pob_superior;L1_num_subdivisiones_hijas;L1_capitales_nombres;L1_capitales_pob;L1_capitales_pct_pob_sub;L1_ciudad_mas_poblada_nombre;L1_ciudad_mas_poblada_pob;L1_ciudad_mas_poblada_pct_pob_sub;L1_escanhos;L2_tipo;L2_nombre;L2_area_km2;L2_pct_area_pais;L2_pct_area_superior;L2_rank_area_pais;L2_rank_area_superior;L2_pob;L2_pct_pob_pais;L2_pct_pob_superior;L2_rank_pob_pais;L2_rank_pob_superior;L2_num_subdivisiones_hijas;L2_capitales_nombres;L2_capitales_pob;L2_capitales_pct_pob_sub;L2_ciudad_mas_poblada_nombre;L2_ciudad_mas_poblada_pob;L2_ciudad_mas_poblada_pct_pob_sub;L2_escanhos;L3_tipo;L3_nombre;L3_area_km2;L3_pct_area_pais;L3_pct_area_superior;L3_rank_area_pais;L3_rank_area_superior;L3_pob;L3_pct_pob_pais;L3_pct_pob_superior;L3_rank_pob_pais;L3_rank_pob_superior;L3_num_subdivisiones_hijas;L3_capitales_nombres;L3_capitales_pob;L3_capitales_pct_pob_sub;L3_ciudad_mas_poblada_nombre;L3_ciudad_mas_poblada_pob;L3_ciudad_mas_poblada_pct_pob_sub;L3_escanhos
Bourbon_Spanish_Empire;505652.30;49234230;Reino;España;505652.30;100.00;1;1;49234230;100.00;1;1;16;Madrid;3422416;6.95;Madrid;3422416;6.95;300;Capitanía General;África;110.89;0.02;0.02;16;16;796074;1.62;1.62;15;15;3;;;;;;;6;Presidio;Ceuta;19.48;0.00;17.57;35;2;83179;0.17;10.45;34;3;1;Ceuta;83179;100.00;Ceuta;83179;100.00;1
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Presidio;Melilla;13.41;0.00;12.09;36;3;85985;0.17;10.80;33;2;;Melilla;85985;100.00;Melilla;85985;100.00;1
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Presidio;Orán;78.00;0.02;70.34;34;1;626910;1.27;78.75;20;1;2;Oran;609940;97.29;Oran;609940;97.29;4
;;;;;;;;;;;;;;;;;;;;;Reinos Andaluces;Andalucía;57714.63;11.41;11.41;4;4;5210824;10.58;10.58;4;4;4;Sevilla;686741;13.18;Sevilla;686741;13.18;32;Reino;Córdoba;12532.40;2.48;21.71;16;2;722179;1.47;13.86;18;2;69;Córdoba;324902;44.99;Córdoba;324902;44.99;5
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Reino;Jaén;10714.09;2.12;18.56;17;3;589521;1.20;11.31;21;3;78;Jaén;111945;18.99;Jaén;111945;18.99;4
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Provincia;Nuevas Poblaciones;1123.87;0.22;1.95;33;4;55942;0.11;1.07;36;4;12;La Carolina;14709;26.29;La Carolina;14709;26.29;1
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Reino;Sevilla;33344.27;6.59;57.77;3;1;3843182;7.81;73.75;4;1;242;Sevilla;686741;17.87;Sevilla;686741;17.87;22
;;;;;;;;;;;;;;;;;;;;;Reino;Aragón;47720.00;9.44;9.44;5;5;1351591;2.75;2.75;12;12;1;Zaragoza;691037;51.13;Zaragoza;691037;51.13;8;Reino;Aragón;47720.00;9.44;100.00;1;1;1351591;2.75;100.00;10;1;731;Zaragoza;691037;51.13;Zaragoza;691037;51.13;8
;;;;;;;;;;;;;;;;;;;;;Principado;Asturias;10392.28;2.06;2.06;11;11;1006190;2.04;2.04;14;14;1;Oviedo;220027;21.87;Oviedo;220027;21.87;6;Principado;Asturias;10392.28;2.06;100.00;20;1;1006190;2.04;100.00;15;1;75;Oviedo;220027;21.87;Gijón;270219;26.86;6
;;;;;;;;;;;;;;;;;;;;;Capitanía General;Canarias;7447.00;1.47;1.47;13;13;2238754;4.55;4.55;8;8;1;Santa Cruz de Tenerife;210486;9.40;Santa Cruz de Tenerife;210486;9.40;13;Capitania General;Canarias;7447.00;1.47;100.00;23;1;2238754;4.55;100.00;7;1;88;Santa Cruz de Tenerife;210486;9.40;Las Palmas de Gran Canaria;383516;17.13;13
