pais_nombre;pais_area_total_km2;pais_pob_total;L1_tipo;L1_nombre;L1_area_km2;L1_pct_area_pais;L1_rank_area_pais;L1_rank_area_superior;L1_pob;L1_pct_pob_pais;L1_rank_pob_pais;L1_rank_pob_superior;L1_num_subdivisiones_hijas;L1_capitales_nombres;L1_capitales_pob;L1_capitales_pct_pob_sub;L1_ciudad_mas_poblada_nombre;L1_ciudad_mas_poblada_pob;L1_ciudad_mas_poblada_pct_pob_sub;L1_escanhos;L2_tipo;L2_nombre;L2_area_km2;L2_pct_area_pais;L2_pct_area_superior;L2_rank_area_pais;L2_rank_area_superior;L2_pob;L2_pct_pob_pais;L2_pct_pob_superior;L2_rank_pob_pais;L2_rank_pob_superior;L2_num_subdivisiones_hijas;L2_capitales_nombres;L2_capitales_pob;L2_capitales_pct_pob_sub;L2_ciudad_mas_poblada_nombre;L2_ciudad_mas_poblada_pob;L2_ciudad_mas_poblada_pct_pob_sub;L2_escanhos;L3_tipo;L3_nombre;L3_area_km2;L3_pct_area_pais;L3_pct_area_superior;L3_rank_area_pais;L3_rank_area_superior;L3_pob;L3_pct_pob_pais;L3_pct_pob_superior;L3_rank_pob_pais;L3_rank_pob_superior;L3_num_subdivisiones_hijas;L3_capitales_nombres;L3_capitales_pob;L3_capitales_pct_pob_sub;L3_ciudad_mas_poblada_nombre;L3_ciudad_mas_poblada_pob;L3_ciudad_mas_poblada_pct_pob_sub;L3_escanhos
Empire_Of_Roma;7682681.65;217141609;Region cultural;Árabes Africanos;1676198.00;21.82;2;2;6931061;3.19;3;3;1;Ṭarābulus;1063571;15.34;Ṭarābulus;1063571;15.34;17;Prefectura;Libia;1676198.00;21.82;100.00;2;1;6931061;3.19;100.00;5;1;3;Ṭarābulus;1063571;15.34;Ṭarābulus;1063571;15.34;17;Provincia;Cirenaica;694957.00;9.05;41.46;5;2;2009270;0.93;28.99;30;2;35;Banghāzī;618325;30.77;Banghāzī;618325;30.77;5
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Provincia;Fezán;702623.00;9.15;41.92;4;1;523113;0.24;7.55;46;3;24;Sabhā;121895;23.30;Sabhā;121895;23.30;2
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Provincia;Tripolitania;278618.00;3.63;16.62;8;3;4398678;2.03;63.46;21;1;54;Ṭarābulus;1063571;24.18;Ṭarābulus;1063571;24.18;10
;;;Región cultural;Árabes Bereberes;5089770.30;66.25;1;1;89092895;41.03;2;2;2;Tanger;1275428;1.43;Tanger;1275428;1.43;200;Prefectura;Mauretania;1180613.10;15.37;23.20;3;2;80461730;37.05;90.31;1;1;12;Rabat;509916;0.63;Rabat;509916;0.63;178;Provincia;Algería;26577.00;0.35;2.25;30;10;9269942;4.27;11.52;7;4;327;El Djazaïr;1212053;13.08;El Djazaïr;1212053;13.08;20
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Provincia;Anti Atlas;101925.00;1.33;8.63;12;5;1861034;0.86;2.31;33;11;146;Errachidia;97687;5.25;Errachidia;97687;5.25;5
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Provincia;Algarbe;13268.07;0.17;1.12;39;12;7036675;3.24;8.75;12;6;107;Casablanca;3215935;45.70;Casablanca;3215935;45.70;15
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Provincia;Constantina;164029.00;2.14;13.89;9;2;12356183;5.69;15.36;2;1;553;Constantine;448374;3.63;Constantine;448374;3.63;26
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Provincia;Fez;69283.72;0.90;5.87;18;7;11433230;5.27;14.21;4;3;413;Fès;1167842;10.21;Fès;1167842;10.21;25
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Provincia;Marrakech;48717.90;0.63;4.13;22;9;6096090;2.81;7.58;14;7;276;Marrakech;1002697;16.45;Marrakech;1002697;16.45;14
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Provincia;Médéa;119056.00;1.55;10.08;11;4;3358309;1.55;4.17;24;10;171;Médéa;138355;4.12;Djelfa;289226;8.61;8
