pais_nombre;pais_area_total_km2;pais_pob_total;L1_tipo;L1_nombre;L1_area_km2;L1_pct_area_pais;L1_rank_area_pais;L1_rank_area_superior;L1_pob;L1_pct_pob_pais;L1_rank_pob_pais;L1_rank_pob_superior;L1_num_subdivisiones_hijas;L1_capitales_nombres;L1_capitales_pob;L1_capitales_pct_pob_sub;L1_ciudad_mas_poblada_nombre;L1_ciudad_mas_poblada_pob;L1_ciudad_mas_poblada_pct_pob_sub;L1_escanhos;L2_tipo;L2_nombre;L2_area_km2;L2_pct_area_pais;L2_pct_area_superior;L2_rank_area_pais;L2_rank_area_superior;L2_pob;L2_pct_pob_pais;L2_pct_pob_superior;L2_rank_pob_pais;L2_rank_pob_superior;L2_num_subdivisiones_hijas;L2_capitales_nombres;L2_capitales_pob;L2_capitales_pct_pob_sub;L2_ciudad_mas_poblada_nombre;L2_ciudad_mas_poblada_pob;L2_ciudad_mas_poblada_pct_pob_sub;L2_escanhos;L3_tipo;L3_nombre;L3_area_km2;L3_pct_area_pais;L3_pct_area_superior;L3_rank_area_pais;L3_rank_area_superior;L3_pob;L3_pct_pob_pais;L3_pct_pob_superior;L3_rank_pob_pais;L3_rank_pob_superior;L3_num_subdivisiones_hijas;L3_capitales_nombres;L3_capitales_pob;L3_capitales_pct_pob_sub;L3_ciudad_mas_poblada_nombre;L3_ciudad_mas_poblada_pob;L3_ciudad_mas_poblada_pct_pob_sub;L3_escanhos
First_Spanish_Empire;3647359.79;109295330;Región cultural;Árabes Bereberes;3040246.25;83.35;1;1;48990116;44.82;2;2;2;Tanger;1275428;2.60;Tanger;1275428;2.60;136;Prefectura;Mauretania;545096.05;14.94;17.93;3;2;41639730;38.10;85.00;2;1;36;Tanger;1275428;3.06;Tanger;1275428;3.06;105;Provincia;Agadir;11288.23;0.31;2.07;57;17;2050512;1.88;4.92;14;6;66;Agadir;504768;24.62;Agadir;504768;24.62;4
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Provincia;Alhucemas;7422.10;0.20;1.36;85;26;784240;0.72;1.88;49;25;64;Al Hoceïma;50225;6.40;Al Hoceïma;50225;6.40;2
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Provincia;Ben Guerir;9715.50;0.27;1.78;69;21;906381;0.83;2.18;42;20;68;Ben Guerir;114872;12.67;Ben Guerir;114872;12.67;2
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Provincia;Béni Mellal;16213.40;0.44;2.97;32;10;1630416;1.49;3.92;21;8;82;Béni Mellal;209594;12.86;Béni Mellal;209594;12.86;4
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Provincia;Berrechid;5018.50;0.14;0.92;107;34;920174;0.84;2.21;40;18;37;Berrechid;168687;18.33;Berrechid;168687;18.33;3
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Provincia;Buarfa;35569.00;0.98;6.53;19;3;144451;0.13;0.35;111;35;13;Bouarfa;30068;20.82;Bouarfa;30068;20.82;1
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Provincia Metropolitana;Casablanca;1143.17;0.03;0.21;116;36;4750204;4.35;11.41;2;1;18;Casablanca;3215935;67.70;Casablanca;3215935;67.70;9
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Provincia;El Bayadh;78870.00;2.16;14.47;12;1;228624;0.21;0.55;98;32;22;El Bayadh;91632;40.08;El Bayadh;91632;40.08;1
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Provincia;Errachidia;27034.00;0.74;4.96;23;6;427572;0.39;1.03;75;28;29;Errachidia;97687;22.85;Errachidia;97687;22.85;2
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Provincia;Essaouira;13669.90;0.37;2.51;44;13;805798;0.74;1.94;48;24;92;Essaouira;82962;10.30;Essaouira;82962;10.30;2
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Provincia;El Yadida;7106.40;0.19;1.30;91;27;1366297;1.25;3.28;25;11;52;El Jadida;237464;17.38;El Jadida;237464;17.38;3
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Provincia;Fez;5287.72;0.14;0.97;104;33;1777874;1.63;4.27;18;7;39;Fès;1167842;65.69;Fès;1167842;65.69;4
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Provincia;Guelmim;38174.00;1.05;7.00;16;2;300868;0.28;0.72;90;31;39;Guelmim;126729;42.12;Guelmim;126729;42.12;1
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Provincia;Jouribga;10783.00;0.30;1.98;59;18;895385;0.82;2.15;44;22;53;Khouribga;195931;21.88;Khouribga;195931;21.88;2
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Provincia;Kenitra;3370.00;0.09;0.62;113;35;1284247;1.18;3.08;27;12;23;Kénitra;507736;39.54;Kénitra;507736;39.54;3
