pais_nombre;pais_area_total_km2;pais_pob_total;L1_tipo;L1_nombre;L1_area_km2;L1_pct_area_pais;L1_rank_area_pais;L1_rank_area_superior;L1_pob;L1_pct_pob_pais;L1_rank_pob_pais;L1_rank_pob_superior;L1_num_subdivisiones_hijas;L1_capitales_nombres;L1_capitales_pob;L1_capitales_pct_pob_sub;L1_ciudad_mas_poblada_nombre;L1_ciudad_mas_poblada_pob;L1_ciudad_mas_poblada_pct_pob_sub;L1_escanhos;L2_tipo;L2_nombre;L2_area_km2;L2_pct_area_pais;L2_pct_area_superior;L2_rank_area_pais;L2_rank_area_superior;L2_pob;L2_pct_pob_pais;L2_pct_pob_superior;L2_rank_pob_pais;L2_rank_pob_superior;L2_num_subdivisiones_hijas;L2_capitales_nombres;L2_capitales_pob;L2_capitales_pct_pob_sub;L2_ciudad_mas_poblada_nombre;L2_ciudad_mas_poblada_pob;L2_ciudad_mas_poblada_pct_pob_sub;L2_escanhos;L3_tipo;L3_nombre;L3_area_km2;L3_pct_area_pais;L3_pct_area_superior;L3_rank_area_pais;L3_rank_area_superior;L3_pob;L3_pct_pob_pais;L3_pct_pob_superior;L3_rank_pob_pais;L3_rank_pob_superior;L3_num_subdivisiones_hijas;L3_capitales_nombres;L3_capitales_pob;L3_capitales_pct_pob_sub;L3_ciudad_mas_poblada_nombre;L3_ciudad_mas_poblada_pob;L3_ciudad_mas_poblada_pct_pob_sub;L3_escanhos
France_Kingdom;298909.66;39656111;Reino;Francia;298909.66;100.00;1;1;39656111;100.00;1;1;21;Paris;2113705;5.33;Paris;2113705;5.33;100;Condado;Angoumois;4679.55;1.57;1.57;17;17;321794;0.81;0.81;18;18;1;Angoulême;41423;12.87;Angoulême;41423;12.87;2;Condado;Angoumois;4679.55;1.57;100.00;16;1;321794;0.81;100.00;20;1;291;Angoulême;41423;12.87;Angoulême;41423;12.87;
;;;;;;;;;;;;;;;;;;;;;Ducado;Anjou;7772.10;2.60;2.60;12;12;852177;2.15;2.15;11;11;1;Angers;157555;18.49;Angers;157555;18.49;3;Ducado;Anjou;7772.10;2.60;100.00;13;1;852177;2.15;100.00;12;1;198;Angers;157555;18.49;Angers;157555;18.49;
;;;;;;;;;;;;;;;;;;;;;Ducado;Aquitania;67571.73;22.61;22.61;1;1;4523398;11.41;11.41;3;3;2;Bordeaux;265328;5.87;Bordeaux;265328;5.87;10;Ducado;Gascuña;37395.26;12.51;55.34;1;1;1975697;4.98;43.68;7;2;2275;Auch;22825;1.16;Bayonne;53312;2.70;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ducado;Guyena;30176.47;10.10;44.66;4;2;2547701;6.42;56.32;6;1;1574;Bordeaux;265328;10.41;Bordeaux;265328;10.41;
;;;;;;;;;;;;;;;;;;;;;Condado;Artois;4414.29;1.48;1.48;18;18;1063717;2.68;2.68;10;10;1;Arras;42621;4.01;Arras;42621;4.01;3;Condado;Artois;4414.29;1.48;100.00;18;1;1063717;2.68;100.00;11;1;634;Arras;42621;4.01;Arras;42621;4.01;
;;;;;;;;;;;;;;;;;;;;;Provincia;Aunis;1448.96;0.48;0.48;21;21;316108;0.80;0.80;19;19;1;La Rochelle;45;0.01;La Rochelle;45;0.01;2;Provincia;Aunis;1448.96;0.48;100.00;23;1;316108;0.80;100.00;21;1;91;La Rochelle;79961;25.30;La Rochelle;79961;25.30;
;;;;;;;;;;;;;;;;;;;;;Estados Soberanos;Navarra y Bearne;5981.87;2.00;2.00;14;14;403516;1.02;1.02;15;15;2;Pau;78620;19.48;Pau;78620;19.48;2;Vizcondado;Bearne;4654.54;1.56;77.81;17;1;369699;0.93;91.62;18;1;389;Pau;78620;21.27;Pau;78620;21.27;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Reino;Navarra;1327.33;0.44;22.19;24;2;33817;0.09;8.38;26;2;74;Saint-Jean-Pied-de-Port;1487;4.40;Saint-Michel;3222;9.53;
;;;;;;;;;;;;;;;;;;;;;Provincia;Bretaña;34103.19;11.41;11.41;2;2;4964489;12.52;12.52;2;2;1;Rennes;227830;4.59;Rennes;227830;4.59;11;Provincia;Bretaña;34103.19;11.41;100.00;2;1;4964489;12.52;100.00;2;1;1334;Rennes;227830;4.59;Nantes;325070;6.55;
;;;;;;;;;;;;;;;;;;;;;Provincia Insular;Córcega;8679.79;2.90;2.90;9;9;360162;0.91;0.91;17;17;1;Ajaccio | Bastia;122802;34.10;Ajaccio;75343;20.92;2;Provincia Insular;Córcega;8679.79;2.90;100.00;10;1;360162;0.91;100.00;19;1;360;Ajaccio | Bastia;122802;34.10;Ajaccio;75343;20.92;
;;;;;;;;;;;;;;;;;;;;;Condado;Foix;2666.38;0.89;0.89;20;20;97369;0.25;0.25;21;21;1;Foix;9731;9.99;Foix;9731;9.99;1;Condado;Foix;2666.38;0.89;100.00;21;1;97369;0.25;100.00;24;1;178;Foix;9731;9.99;Pamiers;16512;16.96;
;;;;;;;;;;;;;;;;;;;;;Provincia;Flandes y Henao;5594.24;1.87;1.87;15;15;2592851;6.54;6.54;7;7;3;Douai;39833;1.54;Douai;39833;1.54;6;Provincia;Cambrai;730.66;0.24;13.06;26;3;143225;0.36;5.52;23;3;97;Cambrai;31568;22.04;Cambrai;31568;22.04;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Provincia;Flandes;2709.07;0.91;48.43;20;1;1824831;4.60;70.38;8;1;273;Lille;238695;13.08;Lille;238695;13.08;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Provincia;Henao;2154.51;0.72;38.51;22;2;624795;1.58;24.10;13;2;255;Valenciennes;42979;6.88;Valenciennes;42979;6.88;
;;;;;;;;;;;;;;;;;;;;;Provincia;Isla de Francia;8387.29;2.81;2.81;11;11;7839062;19.77;19.77;1;1;1;Paris;2113705;26.96;Paris;2113705;26.96;17;Provincia;Isla de Francia;8387.29;2.81;100.00;12;1;7839062;19.77;100.00;1;1;1021;Paris;2113705;26.96;Paris;2113705;26.96;
;;;;;;;;;;;;;;;;;;;;;Provincia;Languedoc;33883.67;11.34;11.34;3;3;4123098;10.40;10.40;4;4;1;Toulouse;511684;12.41;Toulouse;511684;12.41;9;Provincia;Languedoc;33883.67;11.34;100.00;3;1;4123098;10.40;100.00;3;1;1979;Toulouse;511684;12.41;Toulouse;511684;12.41;
;;;;;;;;;;;;;;;;;;;;;Provincia;Limosín;8506.45;2.85;2.85;10;10;523987;1.32;1.32;13;13;1;Limoges;129754;24.76;Limoges;129754;24.76;2;Provincia;Limosín;8506.45;2.85;100.00;11;1;523987;1.32;100.00;15;1;377;Limoges;129754;24.76;Limoges;129754;24.76;
;;;;;;;;;;;;;;;;;;;;;Condado;Marche;9031.96;3.02;3.02;8;8;210670;0.53;0.53;20;20;1;Guéret;12814;6.08;Guéret;12814;6.08;1;Condado;Marche;9031.96;3.02;100.00;9;1;210670;0.53;100.00;22;1;364;Guéret;12814;6.08;Guéret;12814;6.08;
;;;;;;;;;;;;;;;;;;;;;Ducado;Normandía;28396.17;9.50;9.50;4;4;3291858;8.30;8.30;6;6;1;Rouen;116331;3.53;Rouen;116331;3.53;7;Ducado;Normandía;28396.17;9.50;100.00;5;1;3291858;8.30;100.00;5;1;2587;Rouen;116331;3.53;Le Havre;166462;5.06;
;;;;;;;;;;;;;;;;;;;;;Provincia;Picardía;13308.00;4.45;4.45;7;7;1290714;3.25;3.25;9;9;1;Amiens;134780;10.44;Amiens;134780;10.44;3;Provincia;Picardía;13308.00;4.45;100.00;8;1;1290714;3.25;100.00;10;1;1546;Amiens;134780;10.44;Amiens;134780;10.44;
;;;;;;;;;;;;;;;;;;;;;Condado;Poitou;19982.91;6.69;6.69;5;5;1496514;3.77;3.77;8;8;2;Poitiers;89472;5.98;Poitiers;89472;5.98;4;Condado;Poitou;18809.83;6.29;94.13;7;1;1451515;3.66;96.99;9;1;750;Poitiers;89472;6.16;Poitiers;89472;6.16;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Corte Senescal;Saumurois;1173.08;0.39;5.87;25;2;44999;0.11;3.01;25;2;62;Loudun;6791;15.09;Loudun;6791;15.09;
;;;;;;;;;;;;;;;;;;;;;Condado;Provenza;19216.48;6.43;6.43;6;6;3923157;9.89;9.89;5;5;1;Aix-en-Provence;147933;3.77;Aix-en-Provence;147933;3.77;9;Condado;Provenza;19216.48;6.43;100.00;6;1;3923157;9.89;100.00;4;1;532;Aix-en-Provence;147933;3.77;Marseille;877215;22.36;
;;;;;;;;;;;;;;;;;;;;;Condado;Rosellón;3692.39;1.24;1.24;19;19;478734;1.21;1.21;14;14;1;Perpignan;120996;25.27;Perpignan;120996;25.27;2;Condado;Rosellón;3692.39;1.24;100.00;19;1;478734;1.21;100.00;16;1;203;Perpignan;120996;25.27;Perpignan;120996;25.27;
;;;;;;;;;;;;;;;;;;;;;Condado;Saintonge;6155.36;2.06;2.06;13;13;383186;0.97;0.97;16;16;1;Saintes;2792;0.73;Saintes;2792;0.73;2;Condado;Saintonge;6155.36;2.06;100.00;14;1;383186;0.97;100.00;17;1;420;Saintes;25312;6.61;Saintes;25312;6.61;
;;;;;;;;;;;;;;;;;;;;;Provincia;Turena;5436.88;1.82;1.82;16;16;599550;1.51;1.51;12;12;1;Tours;138668;23.13;Tours;138668;23.13;2;Provincia;Turena;5436.88;1.82;100.00;15;1;599550;1.51;100.00;14;1;241;Tours;138668;23.13;Tours;138668;23.13;
