pais_nombre;pais_area_total_km2;pais_pob_total;L1_tipo;L1_nombre;L1_area_km2;L1_pct_area_pais;L1_rank_area_pais;L1_rank_area_superior;L1_pob;L1_pct_pob_pais;L1_rank_pob_pais;L1_rank_pob_superior;L1_num_subdivisiones_hijas;L1_capitales_nombres;L1_capitales_pob;L1_capitales_pct_pob_sub;L1_ciudad_mas_poblada_nombre;L1_ciudad_mas_poblada_pob;L1_ciudad_mas_poblada_pct_pob_sub;L1_escanhos;L2_tipo;L2_nombre;L2_area_km2;L2_pct_area_pais;L2_pct_area_superior;L2_rank_area_pais;L2_rank_area_superior;L2_pob;L2_pct_pob_pais;L2_pct_pob_superior;L2_rank_pob_pais;L2_rank_pob_superior;L2_num_subdivisiones_hijas;L2_capitales_nombres;L2_capitales_pob;L2_capitales_pct_pob_sub;L2_ciudad_mas_poblada_nombre;L2_ciudad_mas_poblada_pob;L2_ciudad_mas_poblada_pct_pob_sub;L2_escanhos
Union_Espanhola;734172.70;90294135;Reino;Aragón;47720.00;6.50;4;4;1364621;1.51;9;9;1;Zaragoza;699007;51.22;Zaragoza;699007;51.22;3;Reino;Aragón;47720.00;6.50;100.00;2;1;1364621;1.51;100.00;22;1;731;Zaragoza;699007;51.22;Zaragoza;699007;51.22;
;;;Corona;Castilla;391918.33;53.38;1;1;33024218;36.57;1;1;24;Burgos | Toledo;265444;0.80;Burgos;178370;0.54;52;Condado;Álava;3104.66;0.42;0.79;46;20;343281;0.38;1.04;48;19;53;Vitoria-Gasteiz;260402;75.86;Vitoria-Gasteiz;260402;75.86;
;;;;;;;;;;;;;;;;;;;;;Provincia;Ávila;7809.16;1.06;1.99;30;16;178222;0.20;0.54;53;22;235;Ávila;59480;33.37;Ávila;59480;33.37;
;;;;;;;;;;;;;;;;;;;;;Provincia;Burgos;22202.72;3.02;5.67;14;8;1203405;1.33;3.64;25;10;591;Burgos;178370;14.82;Burgos;178370;14.82;
;;;;;;;;;;;;;;;;;;;;;Capitania General;Canarias;7447.00;1.01;1.90;32;18;2258866;2.50;6.84;13;6;88;Santa Cruz de Tenerife;211498;9.36;Las Palmas de Gran Canaria;384023;17.00;
;;;;;;;;;;;;;;;;;;;;;Reino;Córdoba;12687.29;1.73;3.24;18;11;746240;0.83;2.26;32;12;72;Córdoba;324159;43.44;Córdoba;324159;43.44;
;;;;;;;;;;;;;;;;;;;;;Provincia;Cuenca;23715.04;3.23;6.05;13;7;290148;0.32;0.88;49;20;310;Cuenca;53761;18.53;Cuenca;53761;18.53;
;;;;;;;;;;;;;;;;;;;;;Reino;Granada;26682.12;3.63;6.81;8;5;3403583;3.77;10.31;8;3;367;Granada;235294;6.91;Málaga;597173;17.55;
;;;;;;;;;;;;;;;;;;;;;Provincia;Guadalajara;7517.68;1.02;1.92;31;17;701740;0.78;2.12;34;14;220;Guadalajara;92798;13.22;Guadalajara;92798;13.22;
;;;;;;;;;;;;;;;;;;;;;Provincia;Guipúzcoa;1980.00;0.27;0.51;50;22;733149;0.81;2.22;33;13;88;Donostia;189507;25.85;Donostia;189507;25.85;
;;;;;;;;;;;;;;;;;;;;;Reino;Jaén;12409.62;1.69;3.17;20;12;622370;0.69;1.88;39;16;93;Jaén;112119;18.01;Jaén;112119;18.01;
;;;;;;;;;;;;;;;;;;;;;Reino;León;25729.40;3.50;6.56;10;6;1453509;1.61;4.40;20;8;299;León;124091;8.54;Gijón;271259;18.66;
;;;;;;;;;;;;;;;;;;;;;Provincia;Madrid;3489.19;0.48;0.89;44;19;5412501;5.99;16.39;2;1;71;Madrid;3477497;64.25;Madrid;3477497;64.25;
;;;;;;;;;;;;;;;;;;;;;Presidio;Melilla;13.41;0.00;0.00;59;24;87067;0.10;0.26;56;24;;Melilla;87067;100.00;Melilla;87067;100.00;
;;;;;;;;;;;;;;;;;;;;;Reino;Murcia;19797.79;2.70;5.05;16;9;1911218;2.12;5.79;14;7;85;Murcia;477631;24.99;Murcia;477631;24.99;
;;;;;;;;;;;;;;;;;;;;;Presidio;Orán;78.00;0.01;0.02;55;23;626910;0.69;1.90;38;15;2;Oran;609940;97.29;Oran;609940;97.29;
;;;;;;;;;;;;;;;;;;;;;Provincia;Salamanca;54135.96;7.37;13.81;1;1;1371487;1.52;4.15;21;9;779;Salamanca;145583;10.61;Badajoz;150870;11.00;
;;;;;;;;;;;;;;;;;;;;;Provincia;Segovia;9590.58;1.31;2.45;25;15;403031;0.45;1.22;46;18;258;Segovia;52189;12.95;Segovia;52189;12.95;
;;;;;;;;;;;;;;;;;;;;;Reino;Sevilla;34068.07;4.64;8.69;6;4;3904763;4.32;11.82;6;2;245;Sevilla;688714;17.64;Sevilla;688714;17.64;
;;;;;;;;;;;;;;;;;;;;;Provincia;Soria;13479.27;1.84;3.44;17;10;166901;0.18;0.51;54;23;256;Soria;40941;24.53;Soria;40941;24.53;
;;;;;;;;;;;;;;;;;;;;;Reino;Toledo;47235.98;6.43;12.05;3;2;2456930;2.72;7.44;12;5;450;Toledo;87074;3.54;Móstoles;214293;8.72;
